Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,67019,1887,216.2,148.2,69.8,171.4,95.9,103.4,41.0,133.2,21.5,28.3,111.6,173.3,1313.8
IDCJAC0001,67019,1888,14.5,61.8,33.0,3.4,18.5,8.9,26.7,4.7,40.7,36.9,18.9,226.6,494.6
IDCJAC0001,67019,1889,42.5,55.5,15.3,58.2,556.0,17.2,98.5,52.5,58.7,24.6,71.5,34.2,1084.7
IDCJAC0001,67019,1890,84.3,251.2,380.7,41.8,77.8,181.0,152.2,9.4,56.7,48.7,66.6,28.0,1378.4
IDCJAC0001,67019,1891,177.6,43.9,85.8,62.9,20.9,373.1,34.9,73.9,104.5,50.5,90.9,59.0,1177.9
IDCJAC0001,67019,1892,119.9,115.1,331.4,89.3,22.9,22.2,53.1,79.7,186.3,92.0,60.1,119.7,1291.7
IDCJAC0001,67019,1893,134.1,73.1,198.9,124.5,25.2,110.1,73.9,22.2,15.9,59.8,100.3,50.6,988.6
IDCJAC0001,67019,1894,42.3,43.8,339.8,46.8,6.6,22.9,10.5,15.0,80.3,74.3,29.0,63.7,775.0
IDCJAC0001,67019,1895,224.4,73.1,22.6,44.8,21.6,5.1,6.3,17.5,111.5,16.3,44.9,46.4,634.5
IDCJAC0001,67019,1896,36.6,119.7,77.4,5.3,41.4,190.3,9.5,14.0,10.4,36.7,103.7,37.7,682.7
IDCJAC0001,67019,1897,43.4,7.9,34.0,95.8,71.0,167.0,113.9,43.8,22.2,39.7,12.0,107.6,758.3
IDCJAC0001,67019,1898,117.7,158.0,21.4,5.5,166.6,122.6,49.7,95.6,42.1,73.8,9.1,58.8,920.9
IDCJAC0001,67019,1899,50.3,3.9,20.7,120.2,41.7,89.4,83.5,259.4,40.1,44.4,77.8,18.5,849.9
IDCJAC0001,67019,1900,125.3,21.3,78.3,89.1,193.1,112.5,315.9,20.4,42.5,12.5,176.7,31.0,1218.6
IDCJAC0001,67019,1901,64.0,37.4,82.8,70.2,30.3,15.8,21.0,110.7,50.9,43.1,44.6,6.8,577.6
IDCJAC0001,67019,1902,37.6,2.8,18.7,26.6,13.4,5.0,32.9,31.3,63.9,113.5,46.8,77.2,469.7
IDCJAC0001,67019,1903,68.0,3.1,72.4,34.7,55.7,29.0,92.9,58.3,101.7,66.7,25.9,111.7,720.1
IDCJAC0001,67019,1904,29.7,95.6,46.9,250.4,35.4,2.5,323.7,50.1,19.3,47.8,17.0,15.5,933.9
IDCJAC0001,67019,1905,38.0,31.8,98.7,81.5,94.6,28.9,3.5,6.3,33.3,47.7,14.2,127.0,605.5
IDCJAC0001,67019,1906,65.0,15.5,149.1,13.9,62.5,21.0,4.3,111.7,24.4,52.8,79.6,35.3,635.1
IDCJAC0001,67019,1907,41.4,85.2,131.4,25.3,19.0,85.6,2.5,5.6,5.4,7.0,42.2,38.8,489.4
IDCJAC0001,67019,1908,45.5,292.5,25.3,28.1,15.7,1.0,115.7,140.7,25.2,26.8,21.5,24.6,762.6
IDCJAC0001,67019,1909,20.2,120.5,7.6,12.2,15.8,75.7,18.0,17.2,40.9,38.4,52.5,144.3,563.3
IDCJAC0001,67019,1910,127.9,24.5,119.2,28.7,12.4,50.5,195.0,8.4,43.8,52.1,19.1,248.9,930.5
IDCJAC0001,67019,1911,294.8,151.9,54.5,38.1,25.1,2.8,82.1,115.0,48.8,30.8,36.4,55.1,935.4
IDCJAC0001,67019,1912,25.7,101.7,113.2,85.6,74.1,52.3,218.9,56.7,8.4,32.3,37.4,58.0,864.3
IDCJAC0001,67019,1913,21.6,12.8,106.2,131.9,349.6,239.1,125.9,0.0,44.9,41.7,23.6,26.8,1124.1
IDCJAC0001,67019,1914,36.3,26.7,349.4,46.3,54.4,75.9,105.4,11.4,109.8,124.9,65.0,161.6,1167.1
IDCJAC0001,67019,1915,5.8,12.0,121.7,134.9,73.2,9.2,34.6,10.1,28.4,19.3,0.8,79.1,529.1
IDCJAC0001,67019,1916,26.6,39.1,55.2,87.7,24.4,57.0,67.1,44.7,57.3,269.0,90.7,106.0,924.8
IDCJAC0001,67019,1917,111.7,84.1,7.7,131.4,32.7,49.7,13.5,18.3,82.3,62.9,237.6,47.1,879.0
IDCJAC0001,67019,1918,275.5,49.1,10.4,76.8,4.6,22.1,115.8,32.1,55.9,12.7,16.1,16.5,687.6
IDCJAC0001,67019,1919,31.5,35.2,18.5,26.1,342.1,13.7,12.9,7.1,44.5,24.6,69.7,81.3,707.2
IDCJAC0001,67019,1920,128.8,38.4,37.4,48.3,3.3,51.8,106.5,30.9,28.7,22.4,49.6,338.1,884.2
IDCJAC0001,67019,1921,109.1,12.5,98.0,122.0,153.7,37.6,109.8,18.8,58.4,42.9,51.7,178.3,992.8
IDCJAC0001,67019,1922,131.8,96.8,14.2,25.4,14.3,26.6,234.1,24.7,70.7,61.2,16.2,52.3,768.3
IDCJAC0001,67019,1923,60.7,12.9,11.5,78.6,17.0,85.5,163.9,90.0,46.3,30.3,34.3,36.4,667.4
IDCJAC0001,67019,1924,63.3,125.4,92.6,132.4,19.1,12.1,29.7,48.0,62.0,22.4,82.5,57.0,746.5
IDCJAC0001,67019,1925,81.2,15.5,62.3,12.3,187.1,106.4,6.6,46.6,10.2,17.0,63.0,19.9,628.1
IDCJAC0001,67019,1926,20.9,10.6,152.2,62.2,62.3,54.1,30.4,22.0,45.0,12.1,3.8,132.9,608.5
IDCJAC0001,67019,1927,133.3,9.2,71.9,310.2,18.2,26.0,1.0,4.6,19.5,54.5,136.1,31.7,816.2
IDCJAC0001,67019,1928,47.9,195.6,88.5,59.6,16.7,157.4,78.9,8.1,4.2,38.7,2.9,25.4,723.9
IDCJAC0001,67019,1929,3.9,287.9,60.5,72.9,90.4,38.9,46.7,50.7,70.9,191.3,71.8,33.1,1019.0
IDCJAC0001,67019,1930,92.1,25.7,88.2,54.5,57.2,135.5,37.8,12.3,1.1,55.9,29.3,79.4,669.0
IDCJAC0001,67019,1931,29.2,58.9,154.2,191.4,78.6,17.8,138.0,14.1,75.0,20.1,96.4,112.1,985.8
IDCJAC0001,67019,1932,36.1,91.0,98.4,43.0,16.9,21.2,32.5,49.6,134.7,16.3,106.0,47.1,692.8
IDCJAC0001,67019,1933,163.9,6.6,68.1,173.1,82.7,39.0,72.7,0.0,91.4,72.5,79.5,70.4,919.9
IDCJAC0001,67019,1934,90.6,180.1,26.2,119.4,53.0,61.8,162.0,70.3,134.5,43.7,85.0,42.0,1068.6
IDCJAC0001,67019,1935,63.4,145.7,48.2,37.6,20.9,14.8,35.3,2.6,40.9,84.0,42.1,110.5,646.0
IDCJAC0001,67019,1936,85.8,129.0,108.5,41.7,16.8,55.8,19.1,14.8,11.2,18.4,21.1,155.5,677.7
IDCJAC0001,67019,1937,65.9,25.2,127.7,42.5,14.7,245.0,22.9,50.3,7.1,48.7,79.3,60.8,790.1
IDCJAC0001,67019,1938,164.2,51.2,20.3,40.7,72.4,7.6,59.1,129.6,32.0,122.9,40.8,6.6,747.4
IDCJAC0001,67019,1939,62.7,3.3,136.2,82.3,32.1,12.2,10.5,38.1,35.3,61.6,56.1,12.2,542.6
IDCJAC0001,67019,1940,19.1,8.3,5.1,107.7,9.4,12.8,22.1,8.7,55.8,13.4,71.3,187.2,520.9
IDCJAC0001,67019,1941,72.6,45.3,18.6,83.6,20.0,22.1,18.8,19.9,35.2,40.8,18.4,29.5,424.8
IDCJAC0001,67019,1942,6.6,35.2,251.1,15.9,37.9,50.2,34.3,11.7,19.5,165.0,120.1,70.2,817.7
IDCJAC0001,67019,1943,52.6,37.4,22.4,44.9,384.5,12.3,8.7,135.9,108.3,35.5,138.0,66.3,1046.8
IDCJAC0001,67019,1944,26.7,22.1,22.1,33.7,59.1,11.4,63.0,89.9,35.0,11.8,6.3,13.5,394.6
IDCJAC0001,67019,1945,160.3,41.9,22.1,138.7,66.0,199.8,29.6,39.3,8.0,20.9,36.1,56.4,819.1
IDCJAC0001,67019,1946,19.1,51.3,87.9,272.6,47.3,97.2,0.8,0.5,27.2,39.8,91.2,20.9,755.8
IDCJAC0001,67019,1947,32.7,145.4,34.6,95.5,33.2,15.7,15.0,23.6,19.9,39.2,106.4,231.8,793.0
IDCJAC0001,67019,1948,134.9,84.5,48.7,19.2,127.0,80.3,4.4,7.9,47.0,12.2,23.1,62.7,651.9
IDCJAC0001,67019,1949,193.8,119.0,87.7,24.5,110.7,274.9,28.9,52.4,108.2,43.4,95.8,39.3,1178.6
IDCJAC0001,67019,1950,130.4,166.3,171.1,136.4,118.5,531.3,204.0,43.5,100.5,124.7,146.1,27.2,1900.0
IDCJAC0001,67019,1951,426.7,47.4,95.5,3.8,84.2,271.3,11.0,79.0,70.2,25.1,6.9,22.6,1143.7
IDCJAC0001,67019,1952,47.5,53.1,94.0,157.9,23.7,172.7,245.6,282.2,5.4,99.9,44.5,50.9,1277.4
IDCJAC0001,67019,1953,51.0,120.1,51.2,14.8,346.6,2.1,8.9,34.0,46.6,47.0,37.5,7.7,767.5
IDCJAC0001,67019,1954,127.9,276.0,31.0,41.3,15.5,5.9,56.8,28.9,31.2,160.1,108.9,46.9,930.4
IDCJAC0001,67019,1955,100.1,271.1,99.7,43.8,169.9,22.1,6.4,12.0,26.2,77.8,191.7,131.8,1152.6
IDCJAC0001,67019,1956,158.7,519.1,334.5,17.5,73.8,133.2,38.9,49.5,33.5,59.4,2.0,78.0,1498.1
IDCJAC0001,67019,1957,56.9,102.4,28.1,16.7,1.8,20.4,104.6,92.3,0.0,9.4,19.6,46.4,498.6
IDCJAC0001,67019,1958,113.0,103.1,251.9,57.2,6.9,138.0,13.3,50.4,26.7,36.3,8.6,58.1,863.5
IDCJAC0001,67019,1959,115.5,188.0,144.5,34.8,16.5,74.6,78.5,22.0,40.2,164.7,115.0,48.7,1043.0
IDCJAC0001,67019,1960,68.9,118.2,31.5,27.9,71.8,28.5,57.6,41.5,41.4,122.5,51.8,155.9,817.5
IDCJAC0001,67019,1961,78.3,58.7,92.3,77.8,6.7,31.9,40.7,151.1,20.5,53.6,391.3,156.0,1158.9
IDCJAC0001,67019,1962,219.5,139.0,40.7,30.4,217.0,2.8,61.5,76.0,87.4,33.5,16.8,190.7,1115.3
IDCJAC0001,67019,1963,151.8,86.6,201.7,184.6,174.0,142.2,24.0,154.1,50.1,42.3,45.8,202.9,1460.1
IDCJAC0001,67019,1964,12.2,29.9,99.6,119.5,10.0,304.5,7.4,44.7,9.1,68.5,74.1,37.6,817.1
IDCJAC0001,67019,1965,26.5,7.7,6.6,61.0,14.3,75.0,121.3,13.2,66.0,166.1,13.3,38.1,609.1
IDCJAC0001,67019,1966,23.5,98.0,57.2,86.2,19.0,66.7,8.2,36.8,46.1,44.0,132.9,86.9,705.5
IDCJAC0001,67019,1967,162.0,131.6,171.0,32.0,20.2,159.0,11.8,179.2,55.0,77.6,49.8,9.0,1058.2
IDCJAC0001,67019,1968,190.2,8.9,156.1,18.8,84.4,8.2,30.0,19.0,0.3,0.5,20.9,101.7,639.0
IDCJAC0001,67019,1969,32.7,196.4,89.2,170.5,32.2,71.3,21.4,129.2,72.2,80.4,237.2,36.6,1169.3
IDCJAC0001,67019,1970,95.6,38.9,75.6,25.6,17.1,16.0,0.0,20.2,152.8,25.3,128.0,266.6,861.7
IDCJAC0001,67019,1971,70.9,124.7,81.8,33.8,43.9,6.2,8.7,41.1,48.4,2.6,77.6,159.4,699.1
IDCJAC0001,67019,1972,305.3,79.9,156.8,61.6,28.0,31.5,1.3,38.1,16.3,178.4,42.1,45.1,984.4
IDCJAC0001,67019,1973,87.0,278.8,21.5,23.0,19.5,27.7,77.3,51.6,32.8,122.3,135.7,29.6,906.8
IDCJAC0001,67019,1974,134.4,67.2,251.4,136.1,177.8,101.8,2.2,41.5,21.5,86.2,71.8,4.4,1096.3
IDCJAC0001,67019,1975,28.4,102.2,107.6,74.5,8.0,176.4,129.8,14.2,35.7,82.8,72.6,15.3,847.5
IDCJAC0001,67019,1976,278.6,197.7,241.6,24.0,18.6,76.6,77.6,8.2,39.0,164.8,107.6,17.4,1251.7
IDCJAC0001,67019,1977,59.4,128.5,116.6,9.0,156.3,83.6,0.0,11.8,58.6,8.8,33.0,55.6,721.2
IDCJAC0001,67019,1978,259.4,24.8,346.2,69.6,78.2,235.2,7.8,9.4,47.6,57.8,121.0,59.8,1316.8
IDCJAC0001,67019,1979,30.4,24.8,69.0,18.0,85.2,107.2,47.8,8.5,23.4,40.0,88.0,2.2,544.5
IDCJAC0001,67019,1980,95.6,55.0,32.0,5.3,136.4,28.4,26.4,6.5,2.2,47.3,36.7,49.2,521.0
IDCJAC0001,67019,1981,72.6,201.7,49.8,150.9,100.3,24.4,31.6,5.6,2.0,131.0,124.6,69.6,964.1
IDCJAC0001,67019,1982,70.7,26.8,164.4,5.6,3.0,31.2,21.0,12.6,139.8,42.8,11.0,20.1,549.0
IDCJAC0001,67019,1983,34.0,43.1,249.8,67.4,102.9,56.4,24.4,20.6,55.0,159.8,19.8,100.2,933.4
IDCJAC0001,67019,1984,228.8,114.2,109.9,73.1,50.9,57.3,93.5,9.7,33.2,23.0,155.2,63.2,1012.0
IDCJAC0001,67019,1985,4.9,41.3,52.6,176.8,116.7,81.3,40.5,17.2,62.6,138.0,149.8,106.2,987.9
IDCJAC0001,67019,1986,169.6,28.4,5.8,30.8,28.6,3.0,19.4,458.5,35.4,62.4,180.1,21.6,1043.6
IDCJAC0001,67019,1987,52.1,35.0,168.2,20.8,49.8,38.0,62.0,203.0,5.6,130.7,141.5,96.2,1002.9
IDCJAC0001,67019,1988,154.5,86.6,59.1,363.5,196.5,39.0,144.2,36.6,81.1,0.0,129.0,153.6,1443.7
IDCJAC0001,67019,1989,106.1,46.8,128.8,282.6,100.4,143.6,12.6,24.8,0.4,17.1,50.6,102.7,1016.5
IDCJAC0001,67019,1990,73.9,456.2,116.7,232.9,99.8,17.2,44.3,176.0,58.4,45.3,37.6,30.6,1388.9
IDCJAC0001,67019,1991,82.4,44.4,21.6,26.8,21.9,292.1,63.2,5.4,10.8,13.0,32.7,138.6,752.9
IDCJAC0001,67019,1992,75.2,351.0,29.2,42.6,25.4,50.0,7.7,9.5,25.7,43.2,120.6,174.2,954.3
IDCJAC0001,67019,1993,43.9,95.7,72.0,23.2,9.6,27.6,62.4,43.8,56.6,41.6,83.7,36.0,596.1
IDCJAC0001,67019,1994,16.4,107.3,195.5,54.2,12.4,35.2,9.6,8.2,24.2,17.1,78.0,52.6,610.7
IDCJAC0001,67019,1995,121.4,38.6,175.9,24.8,151.5,22.0,1.4,0.0,170.1,33.6,117.6,84.5,941.4
IDCJAC0001,67019,1996,171.1,31.7,62.6,55.1,139.8,36.2,58.4,79.5,64.7,29.9,72.0,52.6,853.6
IDCJAC0001,67019,1997,193.7,135.5,35.0,2.0,34.4,34.4,32.1,4.3,82.3,42.4,45.0,32.3,673.4
IDCJAC0001,67019,1998,91.6,42.0,34.0,172.0,185.3,70.4,66.2,200.9,44.4,34.2,72.2,43.7,1056.9
IDCJAC0001,67019,1999,127.1,169.7,27.7,101.6,34.2,33.7,128.1,33.0,25.4,153.3,46.8,84.6,965.2
IDCJAC0001,67019,2000,25.7,6.7,224.7,62.4,33.3,23.8,24.1,14.4,36.2,66.5,187.5,75.8,781.1
IDCJAC0001,67019,2001,220.9,143.7,93.5,73.3,68.4,1.0,66.1,34.0,22.5,35.0,59.4,25.7,843.5
IDCJAC0001,67019,2002,76.9,253.1,77.6,22.0,56.8,11.5,9.2,9.2,7.4,9.1,null,58.2,null
IDCJAC0001,67019,2003,null,98.5,78.4,68.2,178.5,36.8,25.4,24.6,5.0,73.2,54.7,73.5,null
IDCJAC0001,67019,2004,69.5,101.6,35.5,41.3,10.5,19.8,20.4,34.5,42.9,195.8,60.1,73.9,705.8
IDCJAC0001,67019,2005,83.0,109.2,60.6,24.3,38.4,50.0,29.7,2.7,39.6,48.7,119.4,21.1,626.7
IDCJAC0001,67019,2006,109.9,69.9,37.0,3.8,13.7,62.7,43.4,45.5,114.3,5.7,26.6,51.6,584.1
IDCJAC0001,67019,2007,45.1,150.5,69.7,65.0,19.7,284.6,23.6,77.0,21.4,29.8,143.4,112.4,1042.2
IDCJAC0001,67019,2008,83.2,260.3,79.5,79.9,3.8,102.0,31.3,29.4,50.0,53.5,73.0,71.4,917.3
IDCJAC0001,67019,2009,22.4,140.5,54.1,111.8,91.4,52.6,27.6,5.9,16.3,84.0,12.5,63.3,682.4
IDCJAC0001,67019,2010,34.0,199.7,81.5,22.1,72.1,76.3,39.0,24.1,29.9,90.5,103.6,97.0,869.8
IDCJAC0001,67019,2011,68.5,18.7,83.4,96.4,62.4,49.7,85.2,33.6,57.7,42.5,151.8,117.7,867.6
IDCJAC0001,67019,2012,140.6,177.5,196.3,157.5,18.2,117.9,23.0,5.6,21.0,35.5,35.8,40.7,969.6
IDCJAC0001,67019,2013,134.8,164.1,82.4,65.5,40.0,146.1,11.1,8.6,20.9,9.7,179.1,32.3,894.6
IDCJAC0001,67019,2014,20.9,66.2,197.0,38.5,7.2,33.9,11.1,155.0,29.0,80.2,38.1,207.3,884.4
IDCJAC0001,67019,2015,191.8,35.2,45.1,null,null,null,null,null,null,null,null,null,null
